id,t1,t2,y1,y2,sd1,sd2,n1,n2,rob,Indirectness
"ASSIS et al., 2009- 1",veículo,imipramina,76.55417406749557,58.20857650342553,11.72291296625222,11.92590713017001,2,8,M,L
"ASSIS et al., 2009- 2",veículo,imipramina,76.55417406749557,41.41080943922863,11.72291296625222,7.815275310834815,2,8,M,L
"ASSIS et al., 2009- 3",veículo,imipramina,76.55417406749557,31.26110124333926,11.72291296625222,7.815275310834815,2,8,M,L
"ESPEJO et al., 1999- 1",veículo,desipramina,202.8157234457764,188.8068023417898,37.84903874764905,28.7810398810248,2,8,M,L
"ESPEJO et al., 1999- 2",veículo,desipramina,202.8157234457764,160.4404795093393,37.84903874764905,33.31503931433693,2,8,M,L
"ESPEJO et al., 1999- 3",veículo,desipramina,202.8157234457764,133.0499024254252,37.84903874764905,42.58016859110519,2,8,M,L
"FORTUNATO et al., 2009- 1",veículo,imipramina,86.90702087286527,64.13662239089184,35.2757496428759,38.5093600268062,5,15,M,L
"FORTUNATO et al., 2009- 2",veículo,imipramina,86.90702087286527,40.12650221378874,35.2757496428759,22.43929630060717,5,15,M,L
"FORTUNATO et al., 2009- 3",veículo,imipramina,86.90702087286527,36.40733712839975,35.2757496428759,24.0071073958461,5,15,M,L
"HIROAKI-SATO et al., 2014- 1",veículo,fluoxetina,178.6121402108863,132.0889142205757,94.20701630228297,90.98281895290003,2,8,M,L
"HIROAKI-SATO et al., 2014- 2",veículo,fluoxetina,178.6121402108863,134.4043887147335,94.20701630228297,66.91662264376814,2,7,M,L
"HIROAKI-SATO et al., 2014- 3",veículo,fluoxetina,178.6121402108863,61.44913080649757,94.20701630228297,74.46086966982398,2,10,M,L
"HIROAKI-SATO et al., 2014- 4",veículo,fluoxetina,228.6704200952794,96.03724556084886,106.8800743115657,111.7694111423832,6,12,M,L
"KASSAI et al., 2012- 1",veículo,imipramina,142.378752886836,131.1547344110855,72.19429459185402,54.70778725126653,4,13,M,L
"KASSAI et al., 2012- 2",veículo,imipramina,142.378752886836,90.41570438799076,72.19429459185402,40.46877413107387,4,13,M,L
"KASSAI et al., 2012- 3",veículo,imipramina,142.378752886836,66.37413394919169,72.19429459185402,43.21665385602333,4,13,M,L
"KAWASHIMA et al., 1986- 1",veículo,amitriptilina,206.4,169.5445490016066,27.6,23.1799892193567,4,2,M,L
"KAWASHIMA et al., 1986- 1",veículo,clomipramina,206.4,224.7803534542116,27.6,26.26172189013823,4,2,M,L
"KAWASHIMA et al., 1986- 1",veículo,desipramina,206.4,80.95882487950425,27.6,34.0330477555873,4,2,M,L
"KAWASHIMA et al., 1986- 1",veículo,imipramina,206.4,92.42285976589397,27.6,10.8530585362306,4,2,M,L
