skim_variable,n_missing,complete_rate,mean,sd,p0,p25,p50,p75,p100,hist,n
year,0,1,2008.22419928826,7.18730199475286,1986,2005,2010,2013,2017,<U+2581><U+2581><U+2582><U+2585><U+2587>,562
seq,0,1,3.29715302491103,3.19574568047271,1,1,2,4,18,<U+2587><U+2581><U+2581><U+2581><U+2581>,562
ctr_mean,0,1,161.734897764199,72.3142605239616,7.22333428653131,106.756000127,167.419261688174,209.782453715096,447.923322683706,<U+2585><U+2587><U+2587><U+2581><U+2581>,562
ctr_sd,0,1,30.0717952922478,23.6678097698982,1.65050800719832,13.219075995275,24.1148093414429,39.7627043003088,175.79434915952,<U+2587><U+2583><U+2581><U+2581><U+2581>,562
ctr_se,5,0.991103202846975,9.83920662725529,7.69768462378373,0.84061135371179,4.2,8.0196749358426,13.3816559799275,55.591054313099,<U+2587><U+2583><U+2581><U+2581><U+2581>,557
ctr_n_round,0,1,9.83985765124555,5.14523249703125,1,8,9,10,50,<U+2587><U+2582><U+2581><U+2581><U+2581>,562
ctr_n_corr,0,1,5.80604982206406,4.27942460160995,0,3,5,8,35,<U+2587><U+2585><U+2581><U+2581><U+2581>,562
n_comparisons,0,1,2.53380782918149,1.96305341266417,1,1,2,3,9,<U+2587><U+2583><U+2581><U+2581><U+2581>,562
atd_mean,0,1,107.454216468112,66.2376357702482,2.02078521939954,53.1160022657123,98.2563325879244,149.529494955508,388,<U+2587><U+2587><U+2583><U+2581><U+2581>,562
atd_sd,0,1,32.3045160111654,33.5177476165546,0.734846922834953,12.6654676448624,27.5862796676419,42.9249446137542,580.995895568994,<U+2587><U+2581><U+2581><U+2581><U+2581>,562
atd_n_round,0,1,9.33985765124555,3.47388710262785,1,8,8,10,30,<U+2582><U+2587><U+2581><U+2581><U+2581>,562
dose,22,0.96085409252669,14.9834537037037,13.5431785827752,0.1,8,10,20,100,<U+2587><U+2581><U+2581><U+2581><U+2581>,540
treatment_duration,12,0.97864768683274,6.86181818181818,12.5571551734726,1,1,1,8,110,<U+2587><U+2581><U+2581><U+2581><U+2581>,550
treatment_freq,12,0.97864768683274,1.25636363636364,0.639974850474564,1,1,1,1,3,<U+2587><U+2581><U+2581><U+2581><U+2581>,550
last_bf_outcome,93,0.834519572953737,8.76795309168443,71.9161196525972,0,0.5,1,1,960,<U+2587><U+2581><U+2581><U+2581><U+2581>,469
cylinder_height,66,0.882562277580071,34.1826612903226,12.1694127981888,13,25,30,40,80,<U+2587><U+2582><U+2587><U+2581><U+2581>,496
cylinder_diameter,31,0.944839857651246,16.5949152542373,6.55271746468974,10,10,18,20,73,<U+2587><U+2581><U+2581><U+2581><U+2581>,531
water_depth,31,0.944839857651246,18.7448210922787,8.43987316121312,6,12.25,15,20,50,<U+2585><U+2587><U+2582><U+2581><U+2581>,531
